Gene_ID,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000188263.6,IL17REL,10.8007304,2.280376281,14.27842596,-2.203260637,0.4085567663,-5.392789493,6.94E-08,6.86E-06
ENSG00000224066.1,RP4-622L5.7,29.55152325,16.01010312,35.07863351,-1.03892328,0.1927212835,-5.390807183,7.01E-08,6.91E-06
ENSG00000152661.7,GJA1,13340.94912,19835.51229,10690.10701,1.263084217,0.2343563407,5.389588406,7.06E-08,6.94E-06
ENSG00000107968.5,MAP3K8,192.8736387,290.8108819,152.8992538,1.129905173,0.2097483578,5.386955991,7.17E-08,7.01E-06
ENSG00000137693.9,YAP1,1075.788825,1644.223965,843.7744817,1.23098491,0.228680607,5.382987764,7.33E-08,7.14E-06
ENSG00000168566.11,SNRNP48,550.7046394,696.2191258,491.3109714,0.6522945859,0.1212935133,5.377819211,7.54E-08,7.33E-06
ENSG00000110172.7,CHORDC1,1905.307676,2659.919604,1597.302808,0.8236174369,0.153376373,5.369910768,7.88E-08,7.63E-06
ENSG00000241399.2,CD302,571.5660784,820.6167538,469.9127415,0.8888709682,0.1656086473,5.367298039,7.99E-08,7.71E-06
ENSG00000160862.8,AZGP1,489.0476563,806.2364725,359.5828334,1.520876172,0.2835040668,5.364565625,8.11E-08,7.78E-06
ENSG00000170439.5,METTL7B,97.10798463,141.8651216,78.83976544,1.194290591,0.2226193688,5.364720048,8.11E-08,7.78E-06
ENSG00000133639.3,BTG1,1266.663043,1783.259668,1055.807277,0.8181635588,0.152669382,5.359054632,8.37E-08,7.99E-06
ENSG00000078804.8,TP53INP2,6501.307007,3430.57383,7754.667487,-1.377961414,0.2572147893,-5.357240217,8.45E-08,8.02E-06
ENSG00000104447.7,TRPS1,614.5027375,806.4230051,536.1679344,0.8916002647,0.1664219691,5.357467345,8.44E-08,8.02E-06
ENSG00000166295.4,ANAPC16,1758.356833,2374.242349,1506.97499,0.6437461901,0.1202149971,5.354957414,8.56E-08,8.05E-06
ENSG00000183019.3,C19orf59,9.597020024,19.23224073,5.66427688,1.80019921,0.3362259519,5.354135217,8.60E-08,8.05E-06
ENSG00000187446.7,CHP1,2947.804007,2418.93575,3163.668602,-0.5331965742,0.09957629548,-5.354653651,8.57E-08,8.05E-06
ENSG00000267653.1,RP1-193H18.3,9.396041858,19.33057315,5.341131128,1.950326875,0.3641889437,5.355261076,8.54E-08,8.05E-06
ENSG00000103316.6,CRYM,3705.342081,2423.451988,4228.562528,-0.9426072691,0.1761820043,-5.350190406,8.79E-08,8.20E-06
ENSG00000145545.7,SRD5A1,571.7410076,448.1629218,622.1810426,-0.5584617698,0.1044354415,-5.347435333,8.92E-08,8.30E-06
ENSG00000197769.5,MAP1LC3C,11.99693858,23.64473165,7.24273733,1.521412623,0.2848392494,5.341302598,9.23E-08,8.55E-06
ENSG00000132768.9,DPH2,561.1930296,468.7972791,598.9055808,-0.4032576667,0.07554791378,-5.337773692,9.41E-08,8.69E-06
ENSG00000124942.9,AHNAK,9570.149037,14157.48905,7697.765358,1.190373252,0.223067671,5.336377283,9.48E-08,8.73E-06
ENSG00000174032.12,SLC25A30,446.6703615,562.8592467,399.2463267,0.6290760299,0.1179863823,5.331768105,9.73E-08,8.93E-06
ENSG00000172006.7,ZNF554,373.2280771,298.4369556,403.7550654,-0.5223031957,0.09804590471,-5.327129137,9.98E-08,9.10E-06
ENSG00000177575.8,CD163,423.7785957,876.5920886,238.9567619,2.127925135,0.3994482257,5.327161315,9.98E-08,9.10E-06
ENSG00000170242.13,USP47,4335.233859,5083.321793,4029.891846,0.4567079518,0.0857683154,5.324902904,1.01E-07,9.15E-06
ENSG00000197291.4,RAMP2-AS1,78.55012393,111.1664395,65.23734208,1.042935617,0.1958722554,5.324570419,1.01E-07,9.15E-06
ENSG00000243449.2,C4orf48,409.866638,174.3597713,505.9918897,-1.382791352,0.2597082092,-5.324403708,1.01E-07,9.15E-06
ENSG00000068697.6,LAPTM4A,2846.560921,3720.852964,2489.707025,0.6670929349,0.1253174215,5.323225828,1.02E-07,9.18E-06
ENSG00000176124.7,DLEU1,55.73781065,73.75378624,48.38435122,0.7689537192,0.1444879549,5.321922646,1.03E-07,9.21E-06
ENSG00000011304.11,PTBP1,1491.244937,1823.363878,1355.686185,0.5854071091,0.1100453595,5.319689189,1.04E-07,9.30E-06
ENSG00000226085.2,UQCRFS1P1,17.74254651,4.857635864,23.00169372,-1.914556558,0.3602095984,-5.315118106,1.07E-07,9.50E-06
ENSG00000122884.8,P4HA1,839.1368507,1206.42961,689.2214387,0.9017711015,0.1698541934,5.309089423,1.10E-07,9.79E-06
ENSG00000181135.11,ZNF707,277.5001583,219.1813519,301.3037528,-0.5088683756,0.09593318962,-5.304403801,1.13E-07,1.00E-05
ENSG00000123374.6,CDK2,149.8514324,233.0646146,115.8868682,1.255063023,0.2370483356,5.294544758,1.19E-07,1.05E-05
ENSG00000196954.8,CASP4,159.4149736,269.4192257,114.5152789,1.208926452,0.2283479835,5.294228719,1.20E-07,1.05E-05
ENSG00000174946.5,GPR171,3.404695366,7.235397649,1.841143414,1.972101998,0.3725728823,5.293197898,1.20E-07,1.05E-05
ENSG00000268660.1,LETM1P2,21.11698589,10.85553362,25.30533376,-1.384307054,0.2617157955,-5.289352336,1.23E-07,1.07E-05
ENSG00000230876.2,LINC00486,12.09383367,3.420020496,15.63416557,-1.784517781,0.3375959102,-5.285957936,1.25E-07,1.09E-05
ENSG00000198208.7,RPS6KL1,1735.06405,1275.131269,1922.791716,-0.6546820761,0.1240148029,-5.279063957,1.30E-07,1.13E-05
ENSG00000046604.8,DSG2,37.62337186,83.06916597,19.07406815,1.956493417,0.3707453133,5.277189886,1.31E-07,1.14E-05
ENSG00000182107.5,TMEM30B,67.95016916,163.309111,29.02815209,1.930862355,0.3659901756,5.27572182,1.32E-07,1.14E-05
ENSG00000138964.10,PARVG,209.7672258,288.3870259,177.6775114,1.147492361,0.2178398468,5.267596256,1.38E-07,1.19E-05
ENSG00000102547.14,CAB39L,2444.979206,3024.226008,2208.55194,0.5450316552,0.1035120524,5.265393186,1.40E-07,1.20E-05
ENSG00000260231.1,RP4-659J6.2,111.5715621,86.84547003,121.6638446,-0.7507493764,0.1426046598,-5.264550104,1.41E-07,1.20E-05
ENSG00000146833.11,TRIM4,531.1749902,628.1461583,491.5949216,0.4850402958,0.09214617309,5.263813782,1.41E-07,1.20E-05
ENSG00000113108.13,APBB3,1434.24931,1124.670084,1560.608177,-0.4481453445,0.08517165959,-5.261672094,1.43E-07,1.21E-05
ENSG00000243927.1,MRPS6,1181.860426,1773.627138,940.3229925,0.8263875709,0.1571446729,5.258769233,1.45E-07,1.23E-05
ENSG00000050730.11,TNIP3,10.78542036,2.626196665,14.11571574,-1.973808403,0.3754412185,-5.257303423,1.46E-07,1.24E-05
ENSG00000162006.5,MSLNL,35.17459226,16.8545681,42.65215314,-1.472383284,0.2802124708,-5.254524469,1.48E-07,1.25E-05
ENSG00000120063.5,GNA13,1359.759492,1793.046253,1182.907753,0.8195537094,0.1560665624,5.251308778,1.51E-07,1.27E-05
ENSG00000146409.6,SLC18B1,1611.411488,2055.205597,1430.271035,0.762406785,0.1451791932,5.25148796,1.51E-07,1.27E-05
ENSG00000115596.3,WNT6,32.85649032,67.26276496,18.81311291,1.622443876,0.3090164698,5.250347585,1.52E-07,1.27E-05
ENSG00000081237.14,PTPRC,245.3714134,416.6264058,175.4714165,1.491847919,0.2843155424,5.247155698,1.54E-07,1.29E-05
ENSG00000162747.5,FCGR3B,20.44373753,52.19458291,7.484208808,2.226367304,0.4245130732,5.244520004,1.57E-07,1.30E-05
ENSG00000170577.7,SIX2,18.66023479,51.24514841,5.360270044,2.307951389,0.4400834471,5.244349462,1.57E-07,1.30E-05
ENSG00000185022.7,MAFF,391.775074,658.9131917,282.7391075,1.207366884,0.2302644746,5.243391914,1.58E-07,1.30E-05
ENSG00000152463.10,OLAH,22.98747732,42.67477694,14.95184482,1.530453478,0.2919300772,5.242534418,1.58E-07,1.30E-05
ENSG00000213654.5,GPSM3,165.5058147,238.3430197,135.7763433,1.099313728,0.2099469458,5.236150133,1.64E-07,1.35E-05
ENSG00000117318.8,ID3,1081.818314,1753.843787,807.5222029,1.239718236,0.2367975787,5.235350135,1.65E-07,1.35E-05
ENSG00000134453.11,RBM17,2726.559626,3280.909729,2500.294277,0.373198121,0.07129251437,5.23474483,1.65E-07,1.35E-05
ENSG00000114013.11,CD86,89.60321721,147.9739237,65.77843907,1.458863208,0.2787722041,5.233173129,1.67E-07,1.36E-05
ENSG00000145287.6,PLAC8,29.98500788,53.14129875,20.53346059,1.651485236,0.3156332482,5.232291734,1.67E-07,1.36E-05
ENSG00000187116.9,LILRA5,9.238693943,21.76275374,4.1268328,2.187562053,0.4181963123,5.230945345,1.69E-07,1.37E-05
ENSG00000109220.6,CHIC2,192.4458724,246.9482416,170.2000074,0.5450054612,0.1042257936,5.229084305,1.70E-07,1.37E-05
ENSG00000228265.1,RP5-1125A11.1,23.47089929,13.78160202,27.4257145,-1.199600525,0.2294998351,-5.227021296,1.72E-07,1.39E-05
ENSG00000163132.6,MSX1,362.6657888,649.9706884,245.3984829,1.284026745,0.2457874322,5.224135074,1.75E-07,1.40E-05
ENSG00000261879.1,RP11-333E1.1,118.1956465,83.01764993,132.5540125,-0.6609654537,0.1265455786,-5.223141425,1.76E-07,1.41E-05
ENSG00000071967.7,CYBRD1,1974.163768,2852.910156,1615.491773,1.09742557,0.210164011,5.221757831,1.77E-07,1.41E-05
